dpto,department,trust_pct,n_resp,castillo,keiko,castillo_pct,keiko_pct,winner
1,AMAZONAS,27.586127791289144,1239,118434,59675,66.49523606330955,33.50476393669045,Castillo (izq/outsider)
2,ANCASH,20.790523436175086,1398,345338,245371,58.46161138563997,41.53838861436003,Castillo (izq/outsider)
3,APURIMAC,19.69554219854285,953,173312,39407,81.47462144895378,18.525378551046217,Castillo (izq/outsider)
4,AREQUIPA,19.599511878721128,1373,553521,299826,64.8647033387356,35.135296661264405,Castillo (izq/outsider)
5,AYACUCHO,20.6829702410041,1142,238442,51316,82.29004893738913,17.70995106261087,Castillo (izq/outsider)
6,CAJAMARCA,26.82256176752898,1388,507160,204136,71.30083678243656,28.699163217563438,Castillo (izq/outsider)
7,CALLAO,24.587061555674993,657,195098,403813,32.57545778922077,67.42454221077924,Keiko (der)
8,CUSCO,16.37648928567163,1248,585377,118392,83.17743464119619,16.822565358803814,Castillo (izq/outsider)
9,HUANCAVELICA,28.239890652774648,977,154013,27260,84.96190828198353,15.038091718016474,Castillo (izq/outsider)
10,HUANUCO,20.625287254555698,1247,254797,121515,67.70897553094241,32.29102446905759,Castillo (izq/outsider)
11,ICA,20.57751188338669,1445,231808,256085,47.51205694691254,52.48794305308746,Keiko (der)
12,JUNIN,15.39467433456099,1521,386304,281035,57.88722073788584,42.11277926211416,Castillo (izq/outsider)
13,LA LIBERTAD,23.175537705954522,1367,387718,581052,40.02167697183026,59.97832302816974,Keiko (der)
14,LAMBAYEQUE,25.624604719868614,1364,288414,401212,41.821799062100325,58.178200937899675,Keiko (der)
15,LIMA,26.5106054876988,3052,2156173,3931327,35.41967967145791,64.58032032854209,Keiko (der)
16,LORETO,21.932473313251826,1327,175468,195885,47.25099837620808,52.74900162379192,Keiko (der)
17,MADRE DE DIOS,17.29056868349762,598,56233,23009,70.96363039802125,29.03636960197875,Castillo (izq/outsider)
18,MOQUEGUA,21.58679187806836,897,80057,29385,73.15016172950055,26.849838270499447,Castillo (izq/outsider)
19,PASCO,17.41880151348419,884,82535,43658,65.40378626389736,34.59621373610264,Castillo (izq/outsider)
20,PIURA,28.164929756790546,1554,382694,575108,39.955439642013694,60.044560357986306,Keiko (der)
21,PUNO,11.754470955214783,1055,644095,77461,89.2647278936077,10.735272106392301,Castillo (izq/outsider)
22,SAN MARTIN,25.427385507906635,1314,240241,187910,56.111278497539416,43.888721502460584,Castillo (izq/outsider)
23,TACNA,18.568779534131156,1221,152532,57635,72.57657006095152,27.423429939048475,Castillo (izq/outsider)
24,TUMBES,21.543210380268548,861,40974,79065,34.133906480393875,65.86609351960612,Keiko (der)
25,UCAYALI,21.24649725361845,1124,118415,127681,48.11740133931474,51.88259866068526,Keiko (der)
